Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2402899,"LGG, PA PF, sample 46 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402899/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402900,"LGG, PA PF, sample 47 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402900/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402901,"LGG, PA PF, sample 48 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402901/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402902,"LGG, PA PF, sample 49 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402902/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402903,"LGG, PA PF, sample 50 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402903/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402904,"LGG, PA PF, sample 51 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402904/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402905,"LGG, PA MID, sample 52 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402905/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402906,"LGG, PA PF, sample 53 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402906/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402907,"LGG, PA PF, sample 54 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402907/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402908,"LGG, RGNT, sample 55 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402908/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402909,"LGG, PA PF, sample 56 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402909/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402910,"MB, WNT, sample 57 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402910/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402911,"MB, WNT, sample 58 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402911/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402912,"MB, WNT, sample 59 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402912/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402913,"MB, WNT, sample 60 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402913/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402914,"MB, WNT, sample 61 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402914/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402915,"ATRT, MYC, sample 62 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402915/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402916,"ATRT, SHH, sample 63 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402916/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402917,"ATRT, SHH, sample 64 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402917/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402918,"ATRT, TYR, sample 65 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402918/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402919,"ATRT, TYR, sample 66 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402919/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402920,"ATRT, TYR, sample 67 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402920/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402921,"ATRT, MYC, sample 68 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402921/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402922,"LGG, PA/GG ST, sample 69 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402922/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402923,"LGG, PA PF, sample 70 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402923/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402924,"LGG, PA PF, sample 71 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402924/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402925,"LGG, SEGA, sample 72 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402925/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402926,"LGG, PA PF, sample 73 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402926/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402927,"LGG, PA PF, sample 74 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402927/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402928,"CONTR, REACT, sample 75 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402928/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402929,"LGG, PA MID, sample 76 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402929/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402930,"LGG, PA MID, sample 77 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402930/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402931,"LGG, PA PF, sample 78 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402931/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402932,"LGG, PA PF, sample 79 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402932/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402933,"MB, WNT, sample 80 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402933/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402934,"MB, WNT, sample 81 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402934/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402935,"MB, WNT, sample 82 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402935/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402936,"MB, WNT, sample 83 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402936/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402937,"MB, WNT, sample 84 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402937/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402938,"MB, G4, sample 85 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402938/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402939,"MB, G4, sample 86 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402939/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402940,"MB, SHH INF, sample 87 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402940/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402941,"MB, SHH CHL AD, sample 88 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402941/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402942,"MB, SHH INF, sample 89 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402942/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402943,"MB, G3, sample 90 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402943/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402944,"MB, G3, sample 91 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402944/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402945,"MB, G4, sample 92 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402945/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402946,"MB, G3, sample 93 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402946/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402947,"MB, WNT, sample 94 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402947/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402948,"MB, G4, sample 95 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402948/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402949,"MB, G3, sample 96 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402949/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402950,"MB, G4, sample 97 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402950/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402951,"MB, G4, sample 98 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402951/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402952,"MB, G3, sample 99 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402952/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402953,"ATRT, TYR, sample 100 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402953/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402954,"ATRT, TYR, sample 101 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402954/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402955,"ATRT, SHH, sample 102 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402955/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402956,"ATRT, TYR, sample 103 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402956/suppl",,"Martin Sill","Jan 14, 2018"
